variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,edge_idx
N7_E10b_T12a,0.6252498813106823,8610,13921,3.2336817653890826,0.4911730545876887,0.0074332171893147,1.0,5519,0.965929756395599,1.5600652292081898,0.0074332171893147,0.7662620039862293,0.000116144018583,8.427795845422367e-05,0.3627600690522911,0.3357723577235772,,0.6142029784317611,N7,0.813878313339559,E10b
N7_E10b_T12b,0.6131932146173276,8610,13921,3.2336817653890826,0.4911730545876887,0.0074332171893147,1.0,5519,0.965929756395599,1.5600652292081898,0.0074332171893147,0.7662620039862293,0.000116144018583,8.427795845422367e-05,0.3627600690522911,0.3357723577235772,,0.5917346867155503,N7,0.813878313339559,E10b
N7_E10c_T12a,0.63450809583307,8610,13921,3.2336817653890826,0.4911730545876887,0.0074332171893147,1.0,5519,0.965929756395599,1.5600652292081898,0.0074332171893147,0.7662620039862293,0.000116144018583,8.427795845422367e-05,0.3627600690522911,0.3357723577235772,,0.6142029784317611,N7,0.813878313339559,E10c
N7_E10c_T12b,0.6579272244405714,8610,13921,3.2336817653890826,0.4911730545876887,0.0074332171893147,1.0,5519,0.965929756395599,1.5600652292081898,0.0074332171893147,0.7662620039862293,0.000116144018583,8.427795845422367e-05,0.3627600690522911,0.3357723577235772,,0.5917346867155503,N7,0.813878313339559,E10c
N7_E11a_T12a,0.7030231818937376,8610,4450,1.0336817653890824,0.6797909407665506,0.0134727061556329,11.0,6448,0.9739491730842066,1.3352977667493795,0.0076655052264808,0.9077233250620348,0.000116144018583,0.0001256173473028,0.4874732996981322,0.0943640794759327,,1.0,N7,0.7501123595505618,E11a
N7_E11a_T12b,0.7230395419024235,8610,9408,2.1853658536585368,0.5451800232288038,0.0249709639953542,12.0,5491,0.97173329133152,1.5680203970132944,0.0128919860627177,0.8548533964669459,0.000116144018583,0.0001060077311194,0.4650845020080525,0.1981011868625571,,1.0,N7,0.7097151360544217,E11a
N7_E11b_T12a,0.46111598587101643,8610,402955,93.60162601626016,0.0,0.4911730545876887,2.0,17,0.6814261069461118,506.4705882352941,0.4911730545876887,0.0,0.000116144018583,0.0003400138027946,0.4301940804526701,0.915874715606236,,0.4952806526861296,N7,0.730265166085543,E11b
N7_E11b_T12b,0.4518878516756396,8610,402955,93.60162601626016,0.0,0.4911730545876887,2.0,17,0.6814261069461118,506.4705882352941,0.4911730545876887,0.0,0.000116144018583,0.0003400138027946,0.4301940804526701,0.915874715606236,,0.492064701015887,N7,0.730265166085543,E11b
N8_E10a_T12a,0.6273653956372294,5519,243,0.0880594310563507,0.9351331763000544,0.0007247689798876,1.0,5321,0.9898897525783672,1.037211050554407,0.0007247689798876,0.969930464198459,0.0001811922449719,0.0001774799515123,0.2412446796236354,0.0181192244971915,,0.9913194444444444,N8,,E10a
N8_E10a_T12b,0.6200319176730729,5519,243,0.0880594310563507,0.9351331763000544,0.0007247689798876,1.0,5321,0.9898897525783672,1.037211050554407,0.0007247689798876,0.969930464198459,0.0001811922449719,0.0001774799515123,0.2412446796236354,0.0181192244971915,,0.9913194444444444,N8,,E10a
